type,size,runtime
insertionsort,12665,121813
insertionsort,37572,1149364
insertionsort,84032,5791116
insertionsort,75942,4685116
insertionsort,78250,5025345
insertionsort,51664,2177268
insertionsort,18394,260986
insertionsort,24482,471637
insertionsort,87405,6282323
insertionsort,24873,499298
insertionsort,10648,91550
insertionsort,39939,1314488
insertionsort,32321,857492
insertionsort,8189,51659
insertionsort,98379,7944779
insertionsort,38915,1257693
insertionsort,9872,78131
insertionsort,45372,1703680
insertionsort,31669,807551
insertionsort,66909,3715772
insertionsort,92558,7131192
insertionsort,29688,715620
insertionsort,79256,5169373
insertionsort,41389,1425918
insertionsort,14768,178369
insertionsort,11710,112581
insertionsort,74610,4508443
insertionsort,96981,7726151
insertionsort,55190,2531705
insertionsort,22038,390508
insertionsort,62683,3265945
insertionsort,32003,852144
insertionsort,92403,6981767
insertionsort,43178,1536344
insertionsort,35701,1055049
insertionsort,74023,4450663
insertionsort,48353,1924326
insertionsort,8200,53799
insertionsort,60937,3071562
insertionsort,45531,1714390
insertionsort,23726,448043
insertionsort,69472,3969364
insertionsort,37056,1126907
insertionsort,94764,7461590
insertionsort,9953,83850
insertionsort,64363,3444053
insertionsort,57955,2729065
insertionsort,81959,5578607
insertionsort,16254,219823
insertionsort,14832,176216
insertionsort,25796,534114
insertionsort,15391,190035
insertionsort,80082,5210662
insertionsort,55966,2620040
insertionsort,20982,368812
insertionsort,40241,1350746
insertionsort,24255,464267
insertionsort,85970,6158518
insertionsort,91815,6936591
insertionsort,54492,2480418
insertionsort,90188,6662270
insertionsort,53343,2333479
insertionsort,76082,4741283
insertionsort,75054,4559766
insertionsort,71084,4139671
insertionsort,34007,967128
insertionsort,95294,7287267
insertionsort,5158,21347
insertionsort,15535,193813
insertionsort,19823,314909
insertionsort,57420,2715462
insertionsort,15719,206199
insertionsort,61555,3096296
insertionsort,56882,2667416
insertionsort,50591,2009806
insertionsort,55273,2465078
insertionsort,77319,4976298
insertionsort,70803,4180170
insertionsort,26290,573944
insertionsort,58303,2820003
insertionsort,21940,378731
insertionsort,22577,426333
insertionsort,24199,487778
insertionsort,5723,26779
insertionsort,26001,559176
insertionsort,66820,3630291
insertionsort,83959,5674205
insertionsort,74815,4499333
insertionsort,8291,57348
insertionsort,51214,2185288
insertionsort,72453,4385517
insertionsort,39992,1279225
insertionsort,74430,4622655
insertionsort,40992,1338625
insertionsort,53596,2312455
insertionsort,75503,4677736
insertionsort,98691,8067674
insertionsort,50955,2095698
insertionsort,93873,7269599
insertionsort,89529,6695185
insertionsort,81971,5650549
insertionsort,14059,157111
insertionsort,29258,713159
insertionsort,92329,7048440
insertionsort,36645,1074068
insertionsort,33490,937106
insertionsort,99409,8170326
insertionsort,99701,8205762
insertionsort,47399,1877032
insertionsort,70874,4050168
insertionsort,39501,1295959
insertionsort,11764,115475
insertionsort,95423,7522956
insertionsort,72535,4338828
insertionsort,9501,71460
insertionsort,63605,3336573
insertionsort,52855,2245871
insertionsort,83294,5727556
insertionsort,47613,1858895
insertionsort,32774,832202
insertionsort,92795,7172859
insertionsort,20978,352650
insertionsort,64833,3457427
insertionsort,56282,2632434
insertionsort,31354,796409
insertionsort,39706,1315426
insertionsort,61012,3073216
insertionsort,6740,37389
insertionsort,6355,33118
insertionsort,28446,660309
insertionsort,76561,4918934
insertionsort,43555,1584216
insertionsort,44540,1683159
insertionsort,99355,8236316
insertionsort,38257,1185411
insertionsort,19426,317581
insertionsort,35802,1052084
insertionsort,94951,7390877
insertionsort,54694,2462117
insertionsort,44929,1602709
insertionsort,84836,5995975
insertionsort,83476,5665801
insertionsort,87363,6348996
insertionsort,51601,2159231
insertionsort,44646,1604099
insertionsort,88830,6539892
insertionsort,7286,42521
insertionsort,48685,1979486
insertionsort,73456,4495963
insertionsort,16205,213965
insertionsort,69948,3971500
insertionsort,56213,2635799
insertionsort,40448,1347023
insertionsort,76236,4678445
insertionsort,47169,1839979
insertionsort,40490,1361783
insertionsort,99989,8166602
insertionsort,92969,7078475
insertionsort,87079,6327500
insertionsort,50589,2139488
insertionsort,7280,43231
insertionsort,90252,6699520
insertionsort,48330,1943403
insertionsort,78815,5116299
insertionsort,68555,3913267
